"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"H2afv",2.66303266024809e-84,0.593429056748339,0.995,0.911,4.25312946168223e-80,"TA.G2","H2afv"
"Cdca3",1.01804055311879e-78,0.636156305266063,0.783,0.334,1.62591256738602e-74,"TA.G2","Cdca3"
"Mki67",2.61736563329438e-77,0.568282923194328,0.559,0.179,4.18019465293446e-73,"TA.G2","Mki67"
"Racgap1",3.4229410973373e-74,0.506809805257078,0.476,0.137,5.46677922655739e-70,"TA.G2","Racgap1"
"Prc1",1.15209384269013e-73,0.47999401101502,0.339,0.075,1.84000907616041e-69,"TA.G2","Prc1"
"Amica12",4.73381271157941e-72,0.563102797341027,0.89,0.439,7.56037228166348e-68,"TA.G2","Amica1"
"Ccna21",3.63889256615561e-71,0.540125228133936,0.546,0.182,5.81167531740713e-67,"TA.G2","Ccna2"
"Cit",1.12563170338341e-70,0.458046687468852,0.334,0.076,1.79774639347365e-66,"TA.G2","Cit"
"Clca3b3",2.16120582341095e-70,0.608351130823429,0.98,0.64,3.45166182056962e-66,"TA.G2","Clca3b"
"2700094K13Rik1",5.09700012055632e-69,0.631318578946453,0.849,0.47,8.1404188925405e-65,"TA.G2","2700094K13Rik"
"Dek1",1.18345527824939e-67,0.580679662438788,0.788,0.362,1.89009642489211e-63,"TA.G2","Dek"
"Neil3",7.2399763033594e-67,0.405255957219358,0.302,0.066,1.15629661540953e-62,"TA.G2","Neil3"
"Cdo12",1.15838944880951e-66,0.573381438553457,0.668,0.272,1.85006378869367e-62,"TA.G2","Cdo1"
"Cenpf",1.28904190504287e-66,0.645944074871471,0.393,0.108,2.05872882654398e-62,"TA.G2","Cenpf"
"H2afz1",8.73955248566035e-66,0.58448687062657,0.954,0.681,1.39579392748481e-61,"TA.G2","H2afz"
"Hist1h1b",6.31980355786776e-65,0.273079680702924,0.176,0.023,1.00933582622706e-60,"TA.G2","Hist1h1b"
"Cenpm1",7.08191492376666e-65,0.501880560065687,0.476,0.152,1.13105263247477e-60,"TA.G2","Cenpm"
"Rad511",2.59286055716028e-64,0.430852918490487,0.373,0.098,4.14105759584068e-60,"TA.G2","Rad51"
"Mis18a",9.60377225648267e-64,0.485716963447554,0.449,0.141,1.53381846708285e-59,"TA.G2","Mis18a"
"Ncapd2",1.3301968173473e-63,0.419053205339563,0.402,0.112,2.12445733698538e-59,"TA.G2","Ncapd2"
"Rad51ap1",3.22467478789526e-63,0.373277802129943,0.266,0.054,5.15012810374752e-59,"TA.G2","Rad51ap1"
"Hmgn12",4.72581985558236e-63,0.584028340333233,0.92,0.583,7.54760689135059e-59,"TA.G2","Hmgn1"
"Incenp",1.68633499773078e-62,0.476470656738017,0.412,0.12,2.69324562487583e-58,"TA.G2","Incenp"
"Ran2",2.98600042328469e-62,0.512222333192589,0.985,0.799,4.76894127602797e-58,"TA.G2","Ran"
"Lgr51",2.98918054863583e-62,0.440156759916061,0.378,0.1,4.77402025422628e-58,"TA.G2","Lgr5"
"Tacc3",5.93404707064833e-62,0.464135718726863,0.451,0.14,9.47726657653245e-58,"TA.G2","Tacc3"
"Cd812",1.29157019954309e-61,0.525193694375924,0.98,0.816,2.06276676569026e-57,"TA.G2","Cd81"
"Tyms1",3.14372934250715e-61,0.649334753385874,0.705,0.335,5.02085013291818e-57,"TA.G2","Tyms"
"Pmf11",3.14608314073514e-61,0.522998030578669,0.712,0.328,5.02460938406809e-57,"TA.G2","Pmf1"
"Ube2t",3.99059861399196e-61,0.487707479462113,0.376,0.104,6.37338504640656e-57,"TA.G2","Ube2t"
"Spag5",9.7603743512217e-61,0.363881441472185,0.268,0.057,1.55882938763362e-56,"TA.G2","Spag5"
"Ifitm23",2.00400267450765e-60,0.494450768361556,0.985,0.775,3.20059267145617e-56,"TA.G2","Ifitm2"
"Siva12",2.4819642153975e-60,0.646884513916589,0.663,0.291,3.96394504841134e-56,"TA.G2","Siva1"
"Aurka",5.99161069033981e-60,0.44167584652345,0.385,0.109,9.56920143354171e-56,"TA.G2","Aurka"
