"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG9471.6",6.50314828177375e-05,-0.25822675434235,0.024,0.124,0.606028388378496,"8","CG9471"
"Hsc70-5.1",6.63140490092265e-05,-0.307666360702267,0.237,0.368,0.617980622716982,"8","Hsc70-5"
"Csk.3",6.72173717361454e-05,-0.306122416679652,0.154,0.285,0.626398687209139,"8","Csk"
"fz.5",7.04613539889493e-05,-0.286740983904543,0.053,0.164,0.656629357823019,"8","fz"
"CG7006.1",7.17035709291309e-05,-0.251517211182864,0.136,0.269,0.668205577488571,"8","CG7006"
"Eip71CD.6",8.24987103531407e-05,-0.555663524266374,0.083,0.197,0.768805481780918,"8","Eip71CD"
"Gs2.3",8.30093295978067e-05,-0.272683635074443,0.036,0.14,0.773563942521961,"8","Gs2"
"TfIIA-L",8.41318701632055e-05,-0.262425209482287,0.331,0.458,0.784024898050912,"8","TfIIA-L"
"CG13912.6",9.03508576465301e-05,-0.271653307112479,0.036,0.138,0.841979642408014,"8","CG13912"
"Prosbeta7.2",9.52365230386924e-05,-0.288097258315661,0.349,0.456,0.887509158197574,"8","Prosbeta7"
"CG4562.5",0.0001032938393399,-0.329534486464634,0.018,0.111,0.962595288808528,"8","CG4562"
"CG42826.7",0.000105666968144246,-0.896530005582956,0.012,0.102,0.984710476136224,"8","CG42826"
